"Model,""Yıl"",""KM"",""Renk"",""Şehir"",""Fiyat"""
"1.4 XR	,""2000	"",""160.000	"",""Yeşil	"",""İstanbul"",""37.750 """
"1.4 X-Design	,""2006	"",""176.000	"",""Beyaz	"",""İzmir"",""42.900 """
"1.4 HDi X-Line	,""2003	"",""190.800	"",""Beyaz	"",""Batman"",""37.900 """
"1.4 XR	,""2000	"",""230.000	"",""Beyaz	"",""Gaziantep"",""38.500 """
"1.4 XT	,""2004	"",""252.000	"",""Gri	"",""İstanbul"",""38.000 """
"1.4 XR	,""2000	"",""275.000	"",""Gümüş Gri	"",""Ankara"",""36.900 """
"1.4 Fever	,""2006	"",""78.000	"",""Beyaz	"",""İstanbul"",""69.750 """
"1.4 HDi Feline	,""2007	"",""240.000	"",""Beyaz	"",""İstanbul"",""42.500 """
"1.4 XT	,""2000	"",""260	"",""Beyaz	"",""Adana"",""36.500 """
"1.4 HDi X-Line	,""2005	"",""209.000	"",""Mavi	"",""Mersin"",""42.500 """
"1.4 HDi Comfort	,""2008	"",""320	"",""Beyaz	"",""Konya"",""32.000 """
"1.4 HDi Fever	,""2007	"",""201.700	"",""Beyaz	"",""Balıkesir"",""46.500 """
"1.6 XT	,""2001	"",""257.000	"",""Beyaz	"",""Adana"",""44.750 """
"1.4 HDi X-Design	,""2005	"",""146.000	"",""Beyaz	"",""Ankara"",""44.000 """
"1.4 X-Design	,""2005	"",""181.000	"",""Gri	"",""Antalya"",""41.000 """
"1.4 XR	,""2000	"",""214.000	"",""Turkuaz	"",""Ankara"",""40.000 """
"1.6 HDi CC	,""2007	"",""268.511	"",""Beyaz	"",""Bursa"",""42.000 """
"1.4 Fever	,""2006	"",""171.500	"",""Siyah	"",""Balıkesir"",""51.750 """
"1.4 X-Design	,""2006	"",""140.000	"",""Beyaz	"",""İstanbul"",""47.000 """
"1.4 X-Line	,""2004	"",""136.000	"",""Gümüş Gri	"",""İstanbul"",""44.500 """
"1.4 HDi X-Line	,""2004	"",""235.000	"",""Kırmızı	"",""Tekirdağ"",""46.000 """
"1.4 HDi X-Design	,""2006	"",""183.040	"",""Kırmızı	"",""Ankara"",""55.000 """
"1.6 XS	,""2000	"",""215.000	"",""Kırmızı	"",""İstanbul"",""39.750 """
"1.4 HDi X-Design	,""2006	"",""236.000	"",""Gümüş Gri	"",""Gaziantep"",""41.000 """
"1.4 XT	,""2005	"",""159.000	"",""Gümüş Gri	"",""Konya"",""37.500 """
"1.4 XT	,""2003	"",""188.000	"",""Siyah	"",""Mersin"",""46.000 """
"1.4 X-Line	,""2004	"",""255.000	"",""Gümüş Gri	"",""Nevşehir"",""35.500 """
"1.4 X-Line	,""2005	"",""233.000	"",""Kırmızı	"",""Bursa"",""39.750 """
"1.4 XR	,""2000	"",""209.000	"",""Kırmızı	"",""İzmir"",""38.500 """
"1.4 X-Design	,""2005	"",""200.000	"",""Beyaz	"",""Amasya"",""42.000 """
"1.6 XT	,""2002	"",""225.000	"",""Gri	"",""Gaziantep"",""40.000 """
"1.4 HDi X-Line	,""2003	"",""251.000	"",""Beyaz	"",""İzmir"",""36.000 """
"1.4 HDi X-Line	,""2003	"",""209.000	"",""Beyaz	"",""Ankara"",""36.400 """
"1.6 XT	,""2000	"",""204.000	"",""Gümüş Gri	"",""Kahramanmaraş"",""32.000 """
"1.6 XT	,""2001	"",""136.750	"",""Kırmızı	"",""İstanbul"",""48.750 """
"1.4 Comfort	,""2009	"",""179.900	"",""Beyaz	"",""İzmir"",""39.500 """
"1.4 X-Line	,""2003	"",""175.000	"",""Bordo	"",""İstanbul"",""40.000 """
"1.4 HDi X-Line	,""2005	"",""245.000	"",""Gri	"",""Malatya"",""35.750 """
"1.4 X-Line	,""2005	"",""224.000	"",""Gümüş Gri	"",""Kırşehir"",""37.000 """
"1.4 XT	,""2004	"",""218.000	"",""Siyah	"",""İstanbul"",""45.000 """
"1.4 Comfort	,""2008	"",""156.000	"",""Gri	"",""İstanbul"",""48.000 """
"1.4 Comfort	,""2009	"",""150.000	"",""Mavi	"",""Malatya"",""46.000 """
"1.4 X-Line	,""2005	"",""160.000	"",""Kırmızı	"",""İstanbul"",""57.000 """
"1.4 HDi Feline	,""2006	"",""320.000	"",""Mavi	"",""Bursa"",""41.000 """
"2.0 GTI	,""1999	"",""23.000	"",""Kırmızı	"",""İstanbul"",""39.000 """
"1.4 X-Design	,""2005	"",""148.000	"",""Lacivert	"",""İstanbul"",""48.500 """
"1.4 XT	,""2001	"",""129.000	"",""Beyaz	"",""Bursa"",""35.950 """
"1.4 X-Design	,""2005	"",""162.000	"",""Gümüş Gri	"",""Kocaeli"",""39.850 """
"1.4 HDi Desire	,""2004	"",""205.000	"",""Gümüş Gri	"",""Denizli"",""41.000 """
"1.4 HDi X-Line	,""2005	"",""313.650	"",""Gümüş Gri	"",""Çanakkale"",""37.750 """
"1.4 HDi X-Design	,""2005	"",""256.000	"",""Gümüş Gri	"",""Edirne"",""38.900 """
"1.4 X-Line	,""2005	"",""78.000	"",""Gri	"",""Hatay"",""55.000 """
"1.4 HDi Generation	,""2009	"",""270.000	"",""Beyaz	"",""Gaziantep"",""42.500 """
"1.4 HDi Comfort	,""2011	"",""106.000	"",""Füme	"",""İstanbul"",""48.500 """
"1.4 XT	,""2004	"",""165.000	"",""Gümüş Gri	"",""İstanbul"",""40.800 """
"1.6 XT	,""2001	"",""235.000	"",""Lacivert	"",""Amasya"",""38.500 """
"1.4 Comfort	,""2010	"",""68.000	"",""Siyah	"",""Ankara"",""51.500 """
"1.4 X-Design	,""2006	"",""225.000	"",""Siyah	"",""Kayseri"",""36.250 """
"1.4 X-Design	,""2003	"",""293.000	"",""Bordo	"",""Gaziantep"",""33.750 """
"1.4 HDi X-Line	,""2005	"",""227.000	"",""Beyaz	"",""Antalya"",""37.500 """
"1.4 XR	,""2001	"",""145.000	"",""Gri	"",""İstanbul"",""46.250 """
"1.4 HDi X-Line	,""2005	"",""290.000	"",""Beyaz	"",""Bursa"",""35.000 """
